Mod_Inf,Mods_count
mod_merged_antiquewhite,13
mod_merged_dodgerblue1,13
mod_merged_deepskyblue,11
mod_merged_lavender,11
mod_merged_indianred,10
mod_merged_lightblue2,9
mod_merged_bisque4,9
mod_merged_tomato2,9
mod_merged_green3,8
mod_merged_mediumpurple1,8
mod_merged_darkmagenta,6
mod_merged_chocolate2,6
mod_merged_brown2,6
mod_merged_lightsteelblue,6
mod_merged_tan3,6
mod_merged_green,6
mod_merged_blue2,5
mod_merged_hotpink3,4
mod_merged_palevioletred1,3
mod_merged_darkolivegreen4,2
mod_merged_dodgerblue4,2
