,Mod_Inf,Mod_Lng_Inf,Mod_Ctl,Mod_Lng_Ctl,Genes_diff,Perc_diff
1,mod_merged_brown2,261,mod_merged_coral3,2024,221,84.6743295019157
2,mod_merged_brown2,261,mod_merged_mistyrose3,33,261,100
3,mod_merged_brown2,261,mod_merged_tan1,33,260,99.6168582375479
4,mod_merged_brown2,261,mod_merged_orange1,95,259,99.2337164750958
5,mod_merged_brown2,261,mod_merged_deepskyblue,834,252,96.551724137931
6,mod_merged_brown2,261,mod_merged_darkolivegreen4,1792,244,93.4865900383142
7,mod_merged_brown2,261,mod_merged_thistle1,273,254,97.3180076628352
8,mod_merged_brown2,261,mod_merged_magenta2,204,258,98.8505747126437
9,mod_merged_brown2,261,mod_merged_lightblue1,195,246,94.2528735632184
10,mod_merged_brown2,261,mod_merged_darkolivegreen2,1175,253,96.9348659003832
11,mod_merged_brown2,261,mod_merged_honeydew1,1047,225,86.2068965517241
12,mod_merged_brown2,261,mod_merged_antiquewhite,577,257,98.4674329501916
13,mod_merged_brown2,261,mod_merged_navajowhite3,492,257,98.4674329501916
14,mod_merged_brown2,261,mod_merged_mediumpurple1,273,261,100
15,mod_merged_brown2,261,mod_merged_coral1,141,259,99.2337164750958
16,mod_merged_brown2,261,mod_merged_mediumpurple3,109,261,100
17,mod_merged_brown2,261,mod_merged_navajowhite1,87,261,100
18,mod_merged_brown2,261,mod_merged_blue3,79,261,100
19,mod_merged_brown2,261,mod_merged_brown3,39,261,100
20,mod_merged_brown2,261,mod_merged_antiquewhite3,764,254,97.3180076628352
21,mod_merged_brown2,261,mod_merged_firebrick2,210,256,98.0842911877395
22,mod_merged_chocolate,818,mod_merged_coral3,2024,758,92.6650366748166
23,mod_merged_chocolate,818,mod_merged_mistyrose3,33,813,99.3887530562347
24,mod_merged_chocolate,818,mod_merged_tan1,33,816,99.7555012224939
25,mod_merged_chocolate,818,mod_merged_orange1,95,816,99.7555012224939
26,mod_merged_chocolate,818,mod_merged_deepskyblue,834,805,98.4107579462103
27,mod_merged_chocolate,818,mod_merged_darkolivegreen4,1792,781,95.4767726161369
28,mod_merged_chocolate,818,mod_merged_thistle1,273,812,99.2665036674817
29,mod_merged_chocolate,818,mod_merged_magenta2,204,816,99.7555012224939
30,mod_merged_chocolate,818,mod_merged_lightblue1,195,814,99.5110024449878
31,mod_merged_chocolate,818,mod_merged_darkolivegreen2,1175,807,98.6552567237164
32,mod_merged_chocolate,818,mod_merged_honeydew1,1047,797,97.4327628361858
33,mod_merged_chocolate,818,mod_merged_antiquewhite,577,815,99.6332518337408
34,mod_merged_chocolate,818,mod_merged_navajowhite3,492,810,99.0220048899755
35,mod_merged_chocolate,818,mod_merged_mediumpurple1,273,810,99.0220048899755
36,mod_merged_chocolate,818,mod_merged_coral1,141,816,99.7555012224939
37,mod_merged_chocolate,818,mod_merged_mediumpurple3,109,809,98.8997555012225
38,mod_merged_chocolate,818,mod_merged_navajowhite1,87,815,99.6332518337408
39,mod_merged_chocolate,818,mod_merged_blue3,79,815,99.6332518337408
40,mod_merged_chocolate,818,mod_merged_brown3,39,817,99.8777506112469
41,mod_merged_chocolate,818,mod_merged_antiquewhite3,764,806,98.5330073349633
42,mod_merged_chocolate,818,mod_merged_firebrick2,210,814,99.5110024449878
43,mod_merged_chocolate2,573,mod_merged_coral3,2024,495,86.3874345549738
44,mod_merged_chocolate2,573,mod_merged_mistyrose3,33,573,100
45,mod_merged_chocolate2,573,mod_merged_tan1,33,573,100
46,mod_merged_chocolate2,573,mod_merged_orange1,95,572,99.825479930192
47,mod_merged_chocolate2,573,mod_merged_deepskyblue,834,546,95.2879581151833
48,mod_merged_chocolate2,573,mod_merged_darkolivegreen4,1792,555,96.8586387434555
49,mod_merged_chocolate2,573,mod_merged_thistle1,273,570,99.4764397905759
50,mod_merged_chocolate2,573,mod_merged_magenta2,204,573,100
51,mod_merged_chocolate2,573,mod_merged_lightblue1,195,567,98.9528795811518
52,mod_merged_chocolate2,573,mod_merged_darkolivegreen2,1175,506,88.3071553228621
53,mod_merged_chocolate2,573,mod_merged_honeydew1,1047,540,94.2408376963351
54,mod_merged_chocolate2,573,mod_merged_antiquewhite,577,557,97.2076788830715
55,mod_merged_chocolate2,573,mod_merged_navajowhite3,492,551,96.1605584642234
56,mod_merged_chocolate2,573,mod_merged_mediumpurple1,273,573,100
57,mod_merged_chocolate2,573,mod_merged_coral1,141,572,99.825479930192
58,mod_merged_chocolate2,573,mod_merged_mediumpurple3,109,573,100
